Destination ID,Attraction,Hotel Name,Location,Review (short),Rating (approx.),Price,Province
332,Janaki Temple Minor Complex,Janaki Premium Resort,Dhanusha,Luxury temple-side resort,3.9,High (~$90+),2
333,Janakpur Dham,Janakpur Dham Lodge,Dhanusha,Budget-friendly stay,4,Low (~$10–20),2
333,Janakpur Dham,Janakpur Dham View Inn,Dhanusha,Comfortable mid-range rooms,4.2,Medium (~$35–60),2
333,Janakpur Dham,Janakpur Dham Premium Resort,Dhanusha,Luxury resort near temple,4.1,High (~$90+),2
334,Janakpur Ghats,Janakpur Ghats Lodge,Dhanusha,Simple budget stay,4,Low (~$10–20),2
334,Janakpur Ghats,Janakpur Ghats View Inn,Dhanusha,Comfortable mid-range rooms,4,Medium (~$35–60),2
334,Janakpur Ghats,Janakpur Ghats Premium Resort,Dhanusha,Luxury riverside resort,3.9,High (~$90+),2
335,Kachorwa,Kachorwa Lodge,Dhanusha,Budget-friendly stay,4,Low (~$10–20),2
335,Kachorwa,Kachorwa View Inn,Dhanusha,Comfortable mid-range rooms,3.8,Medium (~$35–60),2
335,Kachorwa,Kachorwa Premium Resort,Dhanusha,Luxury resort,4.1,High (~$90+),2
336,Kachorwa Tiny Ghat,Kachorwa Ghat Lodge,Dhanusha,Simple budget stay,4.1,Low (~$10–20),2
336,Kachorwa Tiny Ghat,Kachorwa Ghat View Inn,Dhanusha,Comfortable mid-range rooms,4,Medium (~$35–60),2
336,Kachorwa Tiny Ghat,Kachorwa Ghat Premium Resort,Dhanusha,Luxury riverside resort,3.9,High (~$90+),2
337,Kachorwa Village,Kachorwa Village Lodge,Dhanusha,Budget-friendly stay,4,Low (~$10–20),2
337,Kachorwa Village,Kachorwa Village View Inn,Dhanusha,Comfortable mid-range rooms,3.8,Medium (~$35–60),2
337,Kachorwa Village,Kachorwa Village Premium Resort,Dhanusha,Luxury hillside resort,4.1,High (~$90+),2
338,Kailashnath Mahadev Statue,Kailashnath Lodge,Dhanusha,Budget-friendly stay,4.1,Low (~$10–20),2
338,Kailashnath Mahadev Statue,Kailashnath View Inn,Dhanusha,Comfortable mid-range rooms,4.2,Medium (~$35–60),2
338,Kailashnath Mahadev Statue,Kailashnath Premium Resort,Dhanusha,Luxury temple-side resort,4,High (~$90+),2
339,Kalyanpur Ghat,Kalyanpur Lodge,Sunsari,Simple budget stay,4,Low (~$10–20),1
339,Kalyanpur Ghat,Kalyanpur View Inn,Sunsari,Comfortable mid-range stay,3.9,Medium (~$35–60),1
339,Kalyanpur Ghat,Kalyanpur Premium Resort,Sunsari,Luxury riverside resort,4.1,High (~$90+),1
340,Koshi Barrage,Koshi Barrage Lodge,Sunsari,Budget-friendly stay,4.1,Low (~$10–20),1
340,Koshi Barrage,Koshi Barrage View Inn,Sunsari,Comfortable mid-range rooms,3.9,Medium (~$35–60),1
340,Koshi Barrage,Koshi Barrage Premium Resort,Sunsari,Luxury riverside resort,4,High (~$90+),1
341,Koshi Barrage Viewpoint,Koshi View Lodge,Sunsari,Budget-friendly stay,4.2,Low (~$10–20),1
341,Koshi Barrage Viewpoint,Koshi View Inn,Sunsari,Comfortable mid-range rooms,4,Medium (~$35–60),1
341,Koshi Barrage Viewpoint,Koshi Premium Resort,Sunsari,Luxury resort with river view,4.1,High (~$90+),1
342,Lahan / Shambhunath Temple,Shambhunath Lodge,Siraha,Budget-friendly stay,3.9,Low (~$10–20),2
342,Lahan / Shambhunath Temple,Shambhunath View Inn,Siraha,Comfortable mid-range stay,3.7,Medium (~$35–60),2
342,Lahan / Shambhunath Temple,Shambhunath Premium Resort,Siraha,Luxury temple-side resort,4,High (~$90+),2
343,Laukaha Border Market,Laukaha Lodge,Siraha,Affordable stay,4.2,Low (~$10–20),2
343,Laukaha Border Market,Laukaha View Inn,Siraha,Comfortable mid-range rooms,4,Medium (~$35–60),2
343,Laukaha Border Market,Laukaha Premium Resort,Siraha,Luxury market-side resort,3.9,High (~$90+),2
344,Local Homestays & Village Experiences,Village Homestay Lodge,Sarlahi,"Authentic local experience, budget-friendly",3.8,Low (~$10–20),2
344,Local Homestays & Village Experiences,Village Homestay View Inn,Sarlahi,Comfortable mid-range stay,4,Medium (~$35–60),2
344,Local Homestays & Village Experiences,Village Homestay Premium Resort,Sarlahi,Luxury homestay experience,4.1,High (~$90+),2
345,Local Seasonal Festivals (Remote Villages),Festival Lodge,Sarlahi,Affordable stay near festival site,4,Low (~$10–20),2
345,Local Seasonal Festivals (Remote Villages),Festival View Inn,Sarlahi,Comfortable mid-range stay,3.7,Medium (~$35–60),2
345,Local Seasonal Festivals (Remote Villages),Festival Premium Resort,Sarlahi,Luxury stay with festival view,4.1,High (~$90+),2
346,Madhesh Museum & Cultural Center,Madhesh Lodge,Sarlahi,Budget-friendly museum stay,3.8,Low (~$10–20),2
346,Madhesh Museum & Cultural Center,Madhesh View Inn,Sarlahi,Comfortable mid-range stay,4,Medium (~$35–60),2
346,Madhesh Museum & Cultural Center,Madhesh Premium Resort,Sarlahi,Luxury resort near museum,4,High (~$90+),2
347,Minor Ghats & River Confluences,Riverbank Lodge,Sarlahi,Affordable stay near river,4,Low (~$10–20),2
347,Minor Ghats & River Confluences,Riverbank View Inn,Sarlahi,Comfortable mid-range stay,3.9,Medium (~$35–60),2
347,Minor Ghats & River Confluences,Riverbank Premium Resort,Sarlahi,Luxury riverside resort,4.1,High (~$90+),2
348,Minor Heritage Sites,Heritage Lodge,Bara,Budget-friendly stay,4,Low (~$10–20),2
348,Minor Heritage Sites,Heritage View Inn,Bara,Comfortable mid-range stay,3.9,Medium (~$35–60),2
348,Minor Heritage Sites,Heritage Premium Resort,Bara,Luxury resort near heritage sites,4.1,High (~$90+),2
349,Minor Village Temples (Sarlahi/Bara/Rautahat),Temple Lodge,Sarlahi,Affordable temple stay,4.3,Low (~$10–20),2
349,Minor Village Temples (Sarlahi/Bara/Rautahat),Temple View Inn,Sarlahi,Comfortable mid-range rooms,4.1,Medium (~$35–60),2
349,Minor Village Temples (Sarlahi/Bara/Rautahat),Temple Premium Resort,Sarlahi,Luxury stay near temple,4.2,High (~$90+),2
350,Mithila Art Sites,Mithila Art Lodge,Dhanusha,Budget-friendly stay,4.2,Low (~$10–20),2
350,Mithila Art Sites,Mithila Art View Inn,Dhanusha,Comfortable mid-range stay,4.1,Medium (~$35–60),2
350,Mithila Art Sites,Mithila Art Premium Resort,Dhanusha,Luxury stay near art sites,4,High (~$90+),2
351,Mithila Cultural Park,Cultural Park Lodge,Dhanusha,Affordable stay near park,4.2,Low (~$10–20),2
351,Mithila Cultural Park,Cultural Park View Inn,Dhanusha,Comfortable mid-range rooms,4.1,Medium (~$35–60),2
351,Mithila Cultural Park,Cultural Park Premium Resort,Dhanusha,Luxury resort near park,4,High (~$90+),2
352,Mithila Painting Workshop,Painting Workshop Lodge,Dhanusha,Budget-friendly stay,4,Low (~$10–20),2
352,Mithila Painting Workshop,Painting Workshop View Inn,Dhanusha,Comfortable mid-range stay,4.1,Medium (~$35–60),2
352,Mithila Painting Workshop,Painting Workshop Premium Resort,Dhanusha,Luxury stay near workshop,3.9,High (~$90+),2
353,Parsa National Park,Parsa Lodge,Parsa,Budget-friendly stay,4.2,Low (~$10–20),2
353,Parsa National Park,Parsa View Inn,Parsa,Comfortable mid-range stay,3.9,Medium (~$35–60),2
353,Parsa National Park,Parsa Premium Resort,Parsa,Luxury wildlife lodge,4,High (~$90+),2
354,Pipara (Historical Site),Pipara Lodge,Parsa,Affordable stay near site,4,Low (~$10–20),2
354,Pipara (Historical Site),Pipara View Inn,Parsa,Comfortable mid-range stay,4.1,Medium (~$35–60),2
354,Pipara (Historical Site),Pipara Premium Resort,Parsa,Luxury stay near historical site,3.7,High (~$90+),2
355,Rajdevi Temple,Rajdevi Lodge,Bara,Budget-friendly stay,4.2,Low (~$10–20),2
355,Rajdevi Temple,Rajdevi View Inn,Bara,Comfortable mid-range rooms,4,Medium (~$35–60),2
355,Rajdevi Temple,Rajdevi Premium Resort,Bara,Luxury temple-side resort,4.1,High (~$90+),2
356,Ram Janaki Temple,Ram Janaki Lodge,Dhanusha,Budget-friendly stay,4.3,Low (~$10–20),2
356,Ram Janaki Temple,Ram Janaki View Inn,Dhanusha,Comfortable mid-range rooms,4.1,Medium (~$35–60),2
356,Ram Janaki Temple,Ram Janaki Premium Resort,Dhanusha,Luxury temple-side resort,4.2,High (~$90+),2
357,Raxaul / Bhitthamore Border,Raxaul Lodge,Saptari,Budget-friendly stay near border,4.3,Low (~$10–20),2
357,Raxaul / Bhitthamore Border,Raxaul View Inn,Saptari,Comfortable mid-range rooms,4.3,Medium (~$35–60),2
357,Raxaul / Bhitthamore Border,Raxaul Premium Resort,Saptari,Luxury stay near border,4.1,High (~$90+),2
358,Raxaul Border / Bhitthamore Market,Raxaul Market Lodge,Saptari,Budget-friendly stay,4.1,Low (~$10–20),2
358,Raxaul Border / Bhitthamore Market,Raxaul Market View Inn,Saptari,Comfortable mid-range stay,4,Medium (~$35–60),2
358,Raxaul Border / Bhitthamore Market,Raxaul Market Premium Resort,Saptari,Luxury stay near market,4,High (~$90+),2
359,Sakhuwa Mahadev Temple,Sakhuwa Lodge,Siraha,Budget-friendly temple stay,4,Low (~$10–20),2
359,Sakhuwa Mahadev Temple,Sakhuwa View Inn,Siraha,Comfortable mid-range rooms,4.2,Medium (~$35–60),2
359,Sakhuwa Mahadev Temple,Sakhuwa Premium Resort,Siraha,Luxury temple-side resort,4,High (~$90+),2
360,Salhesh Botanical Garden,Salhesh Lodge,Sarlahi,Affordable stay near garden,3.9,Low (~$10–20),2
360,Salhesh Botanical Garden,Salhesh View Inn,Sarlahi,Comfortable mid-range stay,3.8,Medium (~$35–60),2
360,Salhesh Botanical Garden,Salhesh Premium Resort,Sarlahi,Luxury stay near garden,4,High (~$90+),2
361,Sarlahi,Sarlahi Lodge,Sarlahi,Budget-friendly stay,4.1,Low (~$10–20),2
361,Sarlahi,Sarlahi View Inn,Sarlahi,Comfortable mid-range stay,3.9,Medium (~$35–60),2
361,Sarlahi,Sarlahi Premium Resort,Sarlahi,Luxury resort,4,High (~$90+),2
362,Sarlahi Minor Cultural Site,Sarlahi Cultural Lodge,Sarlahi,Budget-friendly stay,4,Low (~$10–20),2
362,Sarlahi Minor Cultural Site,Sarlahi Cultural View Inn,Sarlahi,Comfortable mid-range rooms,3.9,Medium (~$35–60),2
362,Sarlahi Minor Cultural Site,Sarlahi Cultural Premium Resort,Sarlahi,Luxury stay near cultural site,4.1,High (~$90+),2
363,Shivala Temple,Shivala Lodge,Dhanusha,Affordable stay near temple,4,Low (~$10–20),2
363,Shivala Temple,Shivala View Inn,Dhanusha,Comfortable mid-range stay,3.8,Medium (~$35–60),2
363,Shivala Temple,Shivala Premium Resort,Dhanusha,Luxury temple-side stay,4.1,High (~$90+),2
364,Shivala Temple (Dhanusha),Shivala Dhanusha Lodge,Dhanusha,Budget-friendly stay,4,Low (~$10–20),2
364,Shivala Temple (Dhanusha),Shivala Dhanusha View Inn,Dhanusha,Comfortable mid-range stay,4.1,Medium (~$35–60),2
364,Shivala Temple (Dhanusha),Shivala Dhanusha Premium Resort,Dhanusha,Luxury temple-side resort,4.2,High (~$90+),2
365,Simraungadh,Simraungadh Lodge,Bara,Budget-friendly stay,4.2,Low (~$10–20),2
365,Simraungadh,Simraungadh View Inn,Bara,Comfortable mid-range stay,4.1,Medium (~$35–60),2
365,Simraungadh,Simraungadh Premium Resort,Bara,Luxury resort,4,High (~$90+),2
366,Sirsia Bird Sanctuary,Sirsia Lodge,Saptari,Affordable stay near sanctuary,4.2,Low (~$10–20),2
366,Sirsia Bird Sanctuary,Sirsia View Inn,Saptari,Comfortable mid-range stay,4.1,Medium (~$35–60),2
366,Sirsia Bird Sanctuary,Sirsia Premium Resort,Saptari,Luxury stay near sanctuary,4,High (~$90+),2
367,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands Lodge,Saptari,Budget-friendly stay,4.1,Low (~$10–20),2
367,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands View Inn,Saptari,Comfortable mid-range stay,4,Medium (~$35–60),2
367,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands Premium Resort,Saptari,Luxury stay near ponds,4,High (~$90+),2
368,Tharu Villages,Tharu Village Lodge,Sarlahi,Budget-friendly stay,4.2,Low (~$10–20),2
368,Tharu Villages,Tharu Village View Inn,Sarlahi,Comfortable mid-range stay,4,Medium (~$35–60),2
368,Tharu Villages,Tharu Village Premium Resort,Sarlahi,Luxury homestay experience,4,High (~$90+),2
369,Tilathi Ghat,Tilathi Lodge,Saptari,Budget-friendly stay,4.1,Low (~$10–20),2
369,Tilathi Ghat,Tilathi View Inn,Saptari,Comfortable mid-range stay,4,Medium (~$35–60),2
369,Tilathi Ghat,Tilathi Premium Resort,Saptari,Luxury riverside stay,4,High (~$90+),2
370,Tilathi–Koilabas Border Village,Border Village Lodge,Saptari,Budget-friendly stay,3.9,Low (~$10–20),2
370,Tilathi–Koilabas Border Village,Border Village View Inn,Saptari,Comfortable mid-range stay,4,Medium (~$35–60),2
370,Tilathi–Koilabas Border Village,Border Village Premium Resort,Saptari,Luxury stay near border,3.8,High (~$90+),2
371,Tulsipur Cultural Center,Tulsipur Lodge,Siraha,Budget-friendly stay,4.2,Low (~$10–20),2
371,Tulsipur Cultural Center,Tulsipur View Inn,Siraha,Comfortable mid-range stay,4,Medium (~$35–60),2
371,Tulsipur Cultural Center,Tulsipur Premium Resort,Siraha,Luxury cultural stay,4.1,High (~$90+),2
372,Chhinnamasta Riverbank Areas,Chhinnamasta Lodge,Saptari,Affordable stay near river,4,Low (~$10–20),2
372,Chhinnamasta Riverbank Areas,Chhinnamasta View Inn,Saptari,Comfortable mid-range stay,3.8,Medium (~$35–60),2
372,Chhinnamasta Riverbank Areas,Chhinnamasta Premium Resort,Saptari,Luxury stay near river,4.1,High (~$90+),2
373,Tulsipur Cultural Center,Tulsipur Lodge,Siraha,Budget-friendly stay,3.9,Low (~$10–20),2
373,Tulsipur Cultural Center,Tulsipur View Inn,Siraha,Comfortable mid-range stay,4,Medium (~$35–60),2
373,Tulsipur Cultural Center,Tulsipur Premium Resort,Siraha,Luxury cultural stay,4,High (~$90+),2
374,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands Lodge,Saptari,Budget-friendly stay,3.8,Low (~$10–20),2
374,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands View Inn,Saptari,Comfortable mid-range stay,4.1,Medium (~$35–60),2
374,Small Wetlands & Ponds (Saptari/Dhanusha),Wetlands Premium Resort,Saptari,Luxury stay near ponds,4,High (~$90+),2
375,Birgunj Heritage Sites,Birgunj Lodge,Parsa,Budget-friendly stay,3.8,Low (~$10–20),2
375,Birgunj Heritage Sites,Birgunj View Inn,Parsa,Comfortable mid-range stay,4,Medium (~$35–60),2
375,Birgunj Heritage Sites,Birgunj Premium Resort,Parsa,Luxury stay near heritage sites,4.1,High (~$90+),2
376,Dhobi Tole / Cultural Street,Dhobi Lodge,Parsa,Budget-friendly stay,3.9,Low (~$10–20),2
376,Dhobi Tole / Cultural Street,Dhobi View Inn,Parsa,Comfortable mid-range stay,3.8,Medium (~$35–60),2
376,Dhobi Tole / Cultural Street,Dhobi Premium Resort,Parsa,Luxury cultural stay,4,High (~$90+),2
377,Madhesh Museum & Cultural Center,Madhesh Lodge,Sarlahi,Budget-friendly museum stay,4.3,Low (~$10–20),2
377,Madhesh Museum & Cultural Center,Madhesh View Inn,Sarlahi,Comfortable mid-range stay,3.8,Medium (~$35–60),2
377,Madhesh Museum & Cultural Center,Madhesh Premium Resort,Sarlahi,Luxury resort near museum,4,High (~$90+),2
378,Tharu Villages,Evergreen Suites Tharu,"Tharu Region, Nepal","Decent rooms, perfect for budget travelers.",3.9,Low (~$10–20),2
378,Tharu Villages,Comfort Homestay Tharu,"Tharu Region, Nepal",Comfortable stay and friendly staff.,4,Medium (~$35–60),2
378,Tharu Villages,Grand Retreat Tharu,"Tharu Region, Nepal",Top-notch experience and beautiful design.,4,High (~$90+),2
379,Sakhuwa Mahadev Temple (Sarlahi),Simple Suites Sakhuwa,Sarlahi,"Decent rooms, perfect for budget travelers.",3.8,Low (~$15-25),2
379,Sakhuwa Mahadev Temple (Sarlahi),Tranquil Suites Sakhuwa,Sarlahi,Pleasant ambiance with good food and amenities.,4.1,Medium (~$30-50),2
379,Sakhuwa Mahadev Temple (Sarlahi),Palace Resort Sakhuwa,Sarlahi,Premium facilities with stunning surroundings.,4,High (~$70+),2
380,Gamhariya Village,Evergreen Villa Gamhariya,Bara,Good hospitality at an affordable price.,3.8,Low (~$10–20),2
380,Gamhariya Village,Riverside Hotel Gamhariya,Bara,Pleasant ambiance with good food and amenities.,4,Medium (~$25–50),2
380,Gamhariya Village,Palace Hotel Gamhariya,Bara,Luxurious retreat with exceptional service.,4,High (~$75+),2
381,Kalyanpur Ghat,Evergreen Hotel Kalyanpur,Sarlahi,A cozy stay with basic comforts and local charm.,4,Low (~$20–35),2
381,Kalyanpur Ghat,Midtown Resort Kalyanpur,Sarlahi,Comfortable stay and friendly staff.,4.1,Medium (~$40–80),2
381,Kalyanpur Ghat,Palace Homestay Kalyanpur,Sarlahi,Top-notch experience and beautiful design.,3.9,High (~$120+),2
382,Rajdevi Temple,Classic Retreat Rajdevi,Rautahat,"Decent rooms, perfect for budget travelers.",4,Low (~$10–25),2
382,Rajdevi Temple,Blue Sky Resort Rajdevi,Rautahat,Comfortable stay and friendly staff.,4.1,Medium (~$30–60),2
382,Rajdevi Temple,Grand Villa Rajdevi,Rautahat,Luxurious retreat with exceptional service.,4,High (~$80+),2
383,Tilathi Ghat,Simple Homestay Tilathi,Saptari,A cozy stay with basic comforts and local charm.,4.3,Low (~$10–25),2
383,Tilathi Ghat,Blue Sky Hotel Tilathi,Saptari,Great mid-range option for family visits.,4.2,Medium (~$30–60),2
383,Tilathi Ghat,Royal Suites Tilathi,Saptari,Top-notch experience and beautiful design.,4.1,High (~$80+),2
384,Shivala Temple,Budget Lodge Shivala,Sarlahi,Good hospitality at an affordable price.,3.9,Low (~$10–25),2
384,Shivala Temple,Blue Sky Inn Shivala,Sarlahi,Pleasant ambiance with good food and amenities.,4,Medium (~$35–70),2
384,Shivala Temple,Luxe Villa Shivala,Sarlahi,Luxurious retreat with exceptional service.,4,High (~$90+),2
385,Chure Hills (Eastern Belt),Classic Villa Chure,Udayapur,Good hospitality at an affordable price.,4,Low (~$15–25),2
385,Chure Hills (Eastern Belt),Comfort Retreat Chure,Udayapur,Comfortable stay and friendly staff.,3.9,Medium (~$35–60),2
385,Chure Hills (Eastern Belt),Palace Hotel Chure,Udayapur,Premium facilities with stunning surroundings.,4,High (~$90+),2
386,Tilathi–Koilabas Border Village,Budget Hotel Tilathi–Koilabas,Bara,Good hospitality at an affordable price.,4,Low (~$10–20),2
386,Tilathi–Koilabas Border Village,Comfort Suites Tilathi–Koilabas,Bara,Great mid-range option for family visits.,4.1,Medium (~$30–50),2
386,Tilathi–Koilabas Border Village,Palace Villa Tilathi–Koilabas,Bara,Top-notch experience and beautiful design.,4,High (~$80+),2
387,Simraungadh,Classic Homestay Simraungadh,Bara,A cozy stay with basic comforts and local charm.,3.9,Low (~$15–25),2
387,Simraungadh,Tranquil Suites Simraungadh,Bara,Great mid-range option for family visits.,4.1,Medium (~$40–70),2
387,Simraungadh,Heritage Villa Simraungadh,Bara,Luxurious retreat with exceptional service.,4,High (~$120–200),2
388,Sarlahi Minor Cultural Site,Cosy Suites Sarlahi,Sarlahi,A cozy stay with basic comforts and local charm.,4.1,Low (~$10–20),2
388,Sarlahi Minor Cultural Site,Midtown Lodge Sarlahi,Sarlahi,Pleasant ambiance with good food and amenities.,4,Medium (~$30–60),2
388,Sarlahi Minor Cultural Site,Grand Suites Sarlahi,Sarlahi,Premium facilities with stunning surroundings.,4,High (~$80–120),2
389,Dhanushadham (Dhanusha),Classic Retreat Dhanushadham,Dhanusha,"Decent rooms, perfect for budget travelers.",4,Low (~$15–25),2
389,Dhanushadham (Dhanusha),Serene Inn Dhanushadham,Dhanusha,Great mid-range option for family visits.,4.2,Medium (~$40–60),2
389,Dhanushadham (Dhanusha),Elite Retreat Dhanushadham,Dhanusha,Luxurious retreat with exceptional service.,4,High (~$100–180),2
390,Chinnamasta Bhagawati Temple,Simple Hotel Chinnamasta,Saptari,A cozy stay with basic comforts and local charm.,3.8,Low (~$20-30),2
390,Chinnamasta Bhagawati Temple,Midtown Resort Chinnamasta,Saptari,Comfortable stay and friendly staff.,4,Medium (~$35-60),2
390,Chinnamasta Bhagawati Temple,Heritage Retreat Chinnamasta,Saptari,Top-notch experience and beautiful design.,4,High (~$90+),2
391,Sarlahi,Peace Hotel Sarlahi,Sarlahi,A cozy stay with basic comforts and local charm.,3.9,Low (~$15-25),2
391,Sarlahi,Serene Inn Sarlahi,Sarlahi,Comfortable stay and friendly staff.,4.1,Medium (~$30-50),2
391,Sarlahi,Grand Suites Sarlahi,Sarlahi,Premium facilities with stunning surroundings.,4,High (~$70+),2
392,Laukaha Border Market (Siraha),Evergreen Inn Laukaha,Siraha,Good hospitality at an affordable price.,3.9,Low (~$20-30),2
392,Laukaha Border Market (Siraha),Blue Sky Lodge Laukaha,Siraha,Pleasant ambiance with good food and amenities.,4.1,Medium (~$40-70),2
392,Laukaha Border Market (Siraha),Luxe Suites Laukaha,Siraha,Luxurious retreat with exceptional service.,4,High (~$100+),2
393,Tulsipur Cultural Center (Mahottari),Budget Hotel Tulsipur,Mahottari,"Decent rooms, perfect for budget travelers.",3.9,Low (~$25-35),2
393,Tulsipur Cultural Center (Mahottari),Blue Sky Suites Tulsipur,Mahottari,Great mid-range option for family visits.,4.1,Medium (~$50-80),2
393,Tulsipur Cultural Center (Mahottari),Heritage Suites Tulsipur,Mahottari,Top-notch experience and beautiful design.,4,High (~$120+),2
394,Sakhuwa Mahadev Temple (Sarlahi),Simple Suites Sakhuwa,Sarlahi,"Decent rooms, perfect for budget travelers.",4,Low (~$15-25),2
394,Sakhuwa Mahadev Temple (Sarlahi),Tranquil Suites Sakhuwa,Sarlahi,Pleasant ambiance with good food and amenities.,4.1,Medium (~$30-50),2
394,Sakhuwa Mahadev Temple (Sarlahi),Palace Resort Sakhuwa,Sarlahi,Premium facilities with stunning surroundings.,4,High (~$70+),2
395,Birgunj Heritage Sites (Parsa),Budget Resort Birgunj,Parsa,Good hospitality at an affordable price.,4,Low (~$20-30),2
395,Birgunj Heritage Sites (Parsa),Tranquil Inn Birgunj,Parsa,Comfortable stay and friendly staff.,4.1,Medium (~$35-60),2
395,Birgunj Heritage Sites (Parsa),Heritage Hotel Birgunj,Parsa,Premium facilities with stunning surroundings.,4,High (~$80+),2
396,Bardibas,Evergreen Retreat Bardibas,Mahottari,"Decent rooms, perfect for budget travelers.",Rating (approx.),Low (~$20-30),2
396,Bardibas,Tranquil Retreat Bardibas,Mahottari,Comfortable stay and friendly staff.,4,Medium (~$40-70),2
396,Bardibas,Grand Inn Bardibas,Mahottari,Luxurious retreat with exceptional service.,3.8,High (~$90+),2
397,Laxminiya,Budget Villa Laxminiya,Dhanusha,A cozy stay with basic comforts and local charm.,4.1,Low (~$20-30),2
397,Laxminiya,Serene Villa Laxminiya,Dhanusha,Pleasant ambiance with good food and amenities.,4,Medium (~$35-60),2
397,Laxminiya,Grand Villa Laxminiya,Dhanusha,Premium facilities with stunning surroundings.,3.7,High (~$80+),2
398,Belgachhi,Evergreen Villa Belgachhi,Belgachhi District,Good hospitality at an affordable price.,4.2,Low (~$15-25),2
398,Belgachhi,Comfort Resort Belgachhi,Belgachhi District,Pleasant ambiance with good food and amenities.,4,Medium (~$30-55),2
398,Belgachhi,Luxe Inn Belgachhi,Belgachhi District,Luxurious retreat with exceptional service.,4.1,High (~$70+),2
399,Hathilet,Cosy Suites Hathilet,Hathilet District,"Decent rooms, perfect for budget travelers.",4,Low (~$15-25),2
399,Hathilet,Riverside Retreat Hathilet,Hathilet District,Great mid-range option for family visits.,4.1,Medium (~$30-60),2
399,Hathilet,Heritage Inn Hathilet,Hathilet District,Luxurious retreat with exceptional service.,3.9,High (~$80+),2
400,Dhalkebar,Peace Hotel Dhalkebar,Dhalkebar District,A cozy stay with basic comforts and local charm.,4,Low (~$20-30),2
400,Dhalkebar,Serene Retreat Dhalkebar,Dhalkebar District,Great mid-range option for family visits.,4,Medium (~$35-60),2
400,Dhalkebar,Elite Suites Dhalkebar,Dhalkebar District,Top-notch experience and beautiful design.,4.1,High (~$150+),2
401,Batauwa,Peace Suites Batauwa,Batauwa District,Good hospitality at an affordable price.,3.7,Low (~$20-30),2
401,Batauwa,Comfort Inn Batauwa,Batauwa District,Comfortable stay and friendly staff.,4,Medium (~$30-50),2
401,Batauwa,Elite Villa Batauwa,Batauwa District,Luxurious retreat with exceptional service.,3.7,High (~$90+),2
402,Bharatpur,Cosy Inn Bharatpur,Bharatpur District,Good hospitality at an affordable price.,4,Low (~$7-20),2
402,Bharatpur,Tranquil Inn Bharatpur,Bharatpur District,Comfortable stay and friendly staff.,4,Medium (~$30-45),2
402,Bharatpur,Royal Inn Bharatpur,Bharatpur District,Luxurious retreat with exceptional service.,3.8,High (~$70+),2
403,Fulakaha,Classic Retreat Fulakaha,Fulakaha District,A cozy stay with basic comforts and local charm.,4.1,Low (~$20-30),2
403,Fulakaha,Riverside Inn Fulakaha,Fulakaha District,Pleasant ambiance with good food and amenities.,4,Medium (~$35-60),2
403,Fulakaha,Palace Lodge Fulakaha,Fulakaha District,Top-notch experience and beautiful design.,3.7,High (~$80+),2
404,Birgunj,Peace Lodge Birgunj,Birgunj District,Good hospitality at an affordable price.,4.2,Low (~$20-30),2
404,Birgunj,Tranquil Resort Birgunj,Birgunj District,Great mid-range option for family visits.,4,Medium (~$40-70),2
404,Birgunj,Palace Lodge Birgunj,Birgunj District,Premium facilities with stunning surroundings.,4.1,High (~$100+),2
405,Motisar,Budget Lodge Motisar,Motisar District,"Decent rooms, perfect for budget travelers.",4,Low (~$20-35),2
405,Motisar,Comfort Retreat Motisar,Motisar District,Comfortable stay and friendly staff.,4.1,Medium (~$40-80),2
405,Motisar,Royal Hotel Motisar,Motisar District,Top-notch experience and beautiful design.,3.9,High (~$120+),2
406,Bhatauda,Cosy Suites Bhatauda,Bhatauda District,A cozy stay with basic comforts and local charm.,4,Low (~$20-30),2
406,Bhatauda,Riverside Resort Bhatauda,Bhatauda District,Pleasant ambiance with good food and amenities.,4,Medium (~$35-60),2
406,Bhatauda,Luxe Resort Bhatauda,Bhatauda District,Top-notch experience and beautiful design.,4.1,High (~$80+),2
407,Kalaiya,Classic Resort Kalaiya,Kalaiya District,A cozy stay with basic comforts and local charm.,3.7,Low (~$20-30),2
407,Kalaiya,Serene Retreat Kalaiya,Kalaiya District,Pleasant ambiance with good food and amenities.,4,Medium (~$35-60),2
407,Kalaiya,Elite Retreat Kalaiya,Kalaiya District,Luxurious retreat with exceptional service.,3.9,High (~$80+),2
408,Karaiya,Simple Hotel Karaiya,Karaiya District,"Decent rooms, perfect for budget travelers.",4.1,Low (~$15-25),2
408,Karaiya,Serene Hotel Karaiya,Karaiya District,Comfortable stay and friendly staff.,4.2,Medium (~$30-60),2
408,Karaiya,Heritage Lodge Karaiya,Karaiya District,Luxurious retreat with exceptional service.,3.8,High (~$80+),2
409,Maheshpur,Simple Homestay Maheshpur,Maheshpur District,A cozy stay with basic comforts and local charm.,4.1,Low (~$15–25),2
409,Maheshpur,Blue Sky Inn Maheshpur,Maheshpur District,Comfortable stay and friendly staff.,4,Medium (~$35–55),2
409,Maheshpur,Grand Hotel Maheshpur,Maheshpur District,Premium facilities with stunning surroundings.,3.9,High (~$250–500),2
